instance,failed,satisfaction,reported,low,high,width
10,S1,0.8787878787878788,0.6923076923076923,0.6923076923076923,0.6923077692307693,7.692307701923085e-08
10,S2,0.9393939393939394,0.8461538461538461,0.8461538461538461,0.846153923076923,7.692307690820854e-08
10,S3,0.7272727272727273,0.3076923076923077,0.3076923076923077,0.3076923846153845,7.692307679718624e-08
10,F1,0.8484848484848485,0.75,0.75,0.75000005,5.000000002919336e-08
10,F2,0.9090909090909091,0.7692307692307692,0.7692307692307692,0.7692308461538462,7.692307701923085e-08
10,F3,0.8484848484848485,0.75,0.75,0.75000005,5.000000002919336e-08
10,W1,0.9090909090909091,0.85,0.85,0.85000005,5.000000002919336e-08
10,W2,0.6666666666666667,0.15384615384615385,0.15384615384615385,0.15384623076923076,7.692307690820854e-08
10,W3,0.6060606060606061,0.35,0.35,0.35000005,5.000000002919336e-08
11,S1,0.752212389380531,0.0,0.0,5.88235294918249e-08,5.88235294918249e-08
11,S2,0.9557522123893806,0.7058823529411764,0.7058823529411764,0.7058823823529412,2.94117648014236e-08
11,S3,0.8053097345132744,0.2941176470588235,0.2941176470588235,0.2941176470588235,0.0
11,S4,0.9646017699115044,0.7647058823529411,0.7647058823529411,0.7647059117647059,2.94117648014236e-08
11,F1,0.9734513274336283,0.8695652173913043,0.8695652173913043,0.8695652608695652,4.347826088046958e-08
11,F2,0.6902654867256637,0.0,0.0,0.0,0.0
11,F3,0.7079646017699115,0.4444444444444444,0.0,0.5714285695652175,0.5714285695652175
11,W1,0.7699115044247787,0.0,0.0,0.0,0.0
11,W2,0.911504424778761,0.5652173913043479,0.5652173913043479,0.5652174347826087,4.3478260769447274e-08
11,W3,0.49557522123893805,0.0,0.0,0.25974025925925925,0.25974025925925925
13,S1,0.9423076923076923,0.8378378378378378,0.8378378378378378,0.8378378648648649,2.7027027060810838e-08
13,S2,0.9038461538461539,0.6923076923076923,0.6923076153846154,0.8000000189189189,0.10769240353430354
13,S3,0.9230769230769231,0.7837837837837838,0.7837837837837838,0.7837838108108108,2.7027027060810838e-08
13,F1,0.9519230769230769,0.8648648648648649,0.8648648648648649,0.8648648918918919,2.7027026949788535e-08
13,F2,0.9615384615384616,0.8918918918918919,0.8918918918918919,0.891891918918919,2.7027027060810838e-08
13,F3,0.7980769230769231,0.0,0.0,0.23076930769230763,0.23076930769230763
13,W1,0.7211538461538461,0.21621621621621623,0.21621621621621623,0.2162162432432433,2.7027027060810838e-08
13,W2,0.9423076923076923,0.5384615384615384,0.5384615384615384,0.5384616153846153,7.692307690820854e-08
13,W3,0.9134615384615384,0.3076923076923077,0.3076923076923077,0.30769233076923075,2.3076923039155872e-08
16,S1,0.7962962962962963,0.7380952380952381,0.7380952380952381,0.7380952619047618,2.3809523685969225e-08
16,S2,0.6851851851851851,0.5952380952380952,0.5952380952380952,0.595238119047619,2.3809523796991527e-08
16,S3,0.5555555555555556,0.4285714285714286,0.4285714285714286,0.4285714285714286,0.0
16,F1,0.9074074074074074,0.8809523809523809,0.8809523809523809,0.8809523928571429,1.1904761954006915e-08
16,F2,0.6666666666666667,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.0
16,F3,0.7962962962962963,0.7380952380952381,0.7380952380952381,0.7857143095238095,0.04761907142857136
16,F4,0.9074074074074074,0.8809523809523809,0.8809523809523809,0.8809523928571429,1.1904761954006915e-08
16,W1,0.6111111111111112,0.5,0.5,0.5000000238095239,2.380952390801383e-08
16,W2,0.8703703703703703,0.8333333333333334,0.8333333333333334,0.8333333452380952,1.1904761842984612e-08
16,W3,0.6296296296296297,0.0,0.0,0.629629619047619,0.629629619047619
