instance,failed,nominal,draws,pm5_low,pm5_high,pm5_strand_draws,pm5_distinct,pm20_low,pm20_high,pm20_strand_draws,pm20_distinct
19,S4,0.6470588235294117,20,0.6470588235294117,0.7058823529411764,0,2,0.6470588235294117,0.7058823529411764,0,2
19,W1,0.8235294117647058,20,0.8235294117647058,0.8823529411764706,0,2,0.8235294117647058,0.8823529411764706,0,2
19,W2,0.7647058823529411,20,0.7647058823529411,0.7647058823529411,0,1,0.7647058823529411,0.7647058823529411,0,1
19,W3,0.5,20,0.5,0.5882352941176471,0,2,0.5,0.5882352941176471,0,2
19,W4,0.5882352941176471,20,0.5882352941176471,0.5882352941176471,0,1,0.5882352941176471,0.5882352941176471,0,1
23,F1,0.33333333333333337,20,0.33333333333333337,0.33333333333333337,0,1,0.33333333333333337,0.33333333333333337,0,1
23,F2,0.6428571428571428,20,0.6428571428571428,0.6428571428571428,0,1,0.6428571428571428,0.7380952380952381,0,2
23,F3,0.1428571428571429,20,0.1428571428571429,0.1428571428571429,0,1,0.0,0.1428571428571429,1,2
23,S1,0.40476190476190477,20,0.40476190476190477,0.40476190476190477,0,1,0.40476190476190477,0.40476190476190477,0,1
23,S2,0.023809523809523836,20,0.023809523809523836,0.023809523809523836,0,1,0.023809523809523836,0.023809523809523836,0,1
23,S3,0.0,20,0.0,0.0,20,1,0.0,0.0,20,1
23,W1,0.5476190476190477,20,0.5476190476190477,0.5476190476190477,0,1,0.5476190476190477,0.5476190476190477,0,1
23,W2,0.29166666666666663,20,0.29166666666666663,0.29166666666666663,0,1,0.29166666666666663,0.41666666666666663,0,2
23,W3,0.8378378378378378,20,0.75,0.8378378378378378,0,2,0.75,0.8378378378378378,0,2
27,F1,0.5094339622641509,20,0.5094339622641509,0.5094339622641509,0,1,0.47619047619047616,0.5094339622641509,0,2
27,F2,0.339622641509434,20,0.339622641509434,0.339622641509434,0,1,0.339622641509434,0.3584905660377359,0,2
27,F3,0.4716981132075472,20,0.4716981132075472,0.49056603773584906,0,2,0.4716981132075472,0.5094339622641509,0,3
27,S1,0.7547169811320755,20,0.7547169811320755,0.7547169811320755,0,1,0.7547169811320755,0.7547169811320755,0,1
27,S2,0.4339622641509434,20,0.4339622641509434,0.4339622641509434,0,1,0.4339622641509434,0.4528301886792453,0,2
27,S3,0.8301886792452831,20,0.8301886792452831,0.8301886792452831,0,1,0.8301886792452831,0.8490566037735849,0,2
27,S4,0.679245283018868,20,0.679245283018868,0.679245283018868,0,1,0.679245283018868,0.679245283018868,0,1
27,W1,0.7169811320754718,20,0.7169811320754718,0.7169811320754718,0,1,0.7169811320754718,0.7358490566037736,0,2
27,W2,0.7924528301886793,20,0.7924528301886793,0.7924528301886793,0,1,0.7924528301886793,0.7924528301886793,0,1
