index,nodes,hospitals,arcs,slack,demand,capacity,worst_at_zero,worst_at_top,concave,front_loaded,worst_second_difference,gain_first_half,gain_second_half,binding_levels,distinct_binding,migrates,first_binding,last_binding,target,uniform_spend,optimized_spend,achieved,iterations,dominates,saving,has_floor,floor_value,floor_pair,cut_pairs,floor_tier
37,11,3,27,0.1144,73,273,0.7123287671232876,0.9726027397260274,True,True,1.1102230246251565e-16,0.17808219178082196,0.0821917808219178,6,2,True,S3,W1,0.9726027397260274,136.5,52.0,0.9726027397260274,6,True,0.6190476190476191,True,0.3561643835616438,W1+W3,2,WW
38,12,3,36,0.0445,127,405,0.6614173228346456,0.9921259842519685,True,True,1.1102230246251565e-16,0.19842519685039373,0.1322834645669292,6,1,False,S1,S1,0.9921259842519685,202.5,119.0,0.9921259842519685,9,True,0.4123456790123457,False,,,0,
39,10,2,27,0.1557,36,135,0.6944444444444444,1.0,True,True,1.1102230246251565e-16,0.20833333333333337,0.09722222222222221,5,1,False,F1,F1,1.0,67.5,29.0,1.0,6,True,0.5703703703703704,False,,,0,
44,11,4,32,0.1032,123,439,0.7398373983739837,0.8414634146341463,True,True,1.1102230246251565e-16,0.060975609756097615,0.04065040650406504,6,1,False,W4,W4,0.8414634146341463,219.5,24.5,0.8414634146341463,5,True,0.8883826879271071,True,0.5365853658536586,W1+W4,1,WW
45,10,3,27,0.0962,134,451,0.3880597014925373,0.582089552238806,True,True,1.1102230246251565e-16,0.11641791044776117,0.07761194029850749,6,1,False,S2,S2,0.582089552238806,225.5,41.0,0.582089552238806,3,True,0.8181818181818182,True,0.5970149253731343,W1+W2,2,WW
46,11,2,31,0.0488,100,327,0.53,0.795,True,True,1.1102230246251565e-16,0.15900000000000003,0.10599999999999998,6,1,False,F4,F4,0.795,163.5,55.5,0.795,4,True,0.6605504587155964,False,,,0,
47,9,2,23,0.0919,32,107,0.59375,0.890625,True,True,1.1102230246251565e-16,0.17812499999999998,0.11875000000000002,6,1,False,W3,W3,0.890625,53.5,25.5,0.890625,7,True,0.5233644859813084,False,,,0,
50,9,3,23,0.0489,131,441,0.5419847328244275,0.8129770992366412,True,True,1.1102230246251565e-16,0.16259541984732817,0.10839694656488552,6,1,False,S3,S3,0.8129770992366412,220.5,81.5,0.8129770992366412,5,True,0.6303854875283447,True,0.5877862595419847,W1+W3,2,WW
52,12,3,36,0.0311,66,213,0.6212121212121212,0.9318181818181819,True,True,2.220446049250313e-16,0.1863636363636364,0.12424242424242427,6,1,False,F4,F4,0.9318181818181819,106.5,45.0,0.9318181818181819,9,True,0.5774647887323944,True,0.6212121212121212,W1+W2,1,WW
54,11,2,28,0.035,71,232,0.5633802816901409,0.8450704225352113,True,True,1.1102230246251565e-16,0.16901408450704225,0.11267605633802813,6,1,False,S1,S1,0.8450704225352113,116.0,41.0,0.8450704225352113,5,True,0.646551724137931,False,,,0,
57,9,2,22,0.0413,106,347,0.5283018867924528,0.7924528301886793,True,True,2.220446049250313e-16,0.1584905660377358,0.10566037735849065,6,1,False,S1,S1,0.7924528301886793,173.5,62.0,0.7924528301886793,5,True,0.6426512968299711,False,,,0,
58,10,3,27,0.041,118,383,0.5338983050847458,0.8008474576271186,True,True,0.0,0.1601694915254237,0.10677966101694913,6,1,False,S2,S2,0.8008474576271186,191.5,74.5,0.8008474576271186,4,True,0.6109660574412533,True,0.8220338983050848,W1+W3,1,WW
60,10,3,28,0.079,115,413,0.6347826086956522,0.9,True,True,0.0,0.19043478260869562,0.07478260869565223,6,2,True,W1,W3,0.9,206.5,64.5,0.9,6,True,0.6876513317191283,True,0.6,W2+W3,2,WW
61,9,4,24,0.0633,112,411,0.5714285714285714,0.8571428571428572,True,True,0.0,0.17142857142857149,0.11428571428571432,6,1,False,W2,W2,0.8571428571428572,205.5,44.0,0.8571428571428572,4,True,0.7858880778588808,True,0.8035714285714286,W2+W3,2,WW
63,11,4,34,0.0351,172,546,0.6046511627906976,0.9069767441860466,True,True,1.1102230246251565e-16,0.1813953488372093,0.12093023255813962,6,1,False,W1,W1,0.9069767441860466,273.0,114.0,0.9069767441860466,9,True,0.5824175824175825,True,0.5232558139534884,W2+W3,2,WW
67,9,2,21,0.164,80,290,0.48750000000000004,0.73125,True,True,1.1102230246251565e-16,0.14625,0.09749999999999992,6,1,False,S2,S2,0.73125,145.0,23.0,0.73125,3,True,0.8413793103448276,False,,,0,
68,9,2,21,0.0769,76,256,0.4473684210526315,0.6710526315789473,True,True,1.1102230246251565e-16,0.13421052631578945,0.08947368421052637,6,1,False,S1,S1,0.6710526315789473,128.0,27.0,0.6710526315789473,4,True,0.7890625,False,,,0,
71,10,2,24,0.0462,71,241,0.6056338028169015,0.9084507042253521,True,True,1.1102230246251565e-16,0.1816901408450704,0.12112676056338023,6,1,False,S1,S1,0.9084507042253521,120.5,50.75,0.9084507042253521,6,True,0.578838174273859,False,,,0,
74,9,3,23,0.1836,72,262,0.6388888888888888,0.9583333333333334,True,True,1.1102230246251565e-16,0.19166666666666676,0.12777777777777777,6,1,False,F2,F2,0.9583333333333334,131.0,59.0,0.9583333333333334,6,True,0.549618320610687,False,,,0,
75,9,2,22,0.0213,30,106,0.6,0.9,True,True,1.1102230246251565e-16,0.18000000000000005,0.12,6,1,False,F3,F3,0.9,53.0,19.5,0.9,6,True,0.6320754716981132,False,,,0,
79,10,4,27,0.0447,87,293,0.5747126436781609,0.8620689655172413,True,True,1.1102230246251565e-16,0.1724137931034483,0.11494252873563215,6,1,False,F1,F1,0.8620689655172413,146.5,50.0,0.8620689655172413,4,True,0.658703071672355,True,0.5517241379310345,W1+W2,1,WW
80,11,2,28,0.0329,58,187,0.5862068965517242,0.8793103448275862,True,True,2.220446049250313e-16,0.17586206896551715,0.11724137931034484,6,1,False,W3,W3,0.8793103448275862,93.5,31.5,0.8793103448275862,7,True,0.6631016042780749,False,,,0,
